annee,code_departement,[president_sortant]tour,[president_sortant]famille_politique,[president_sortant]pourcentage
2002,87,t1,droite,49.55
2002,87,t1,gauche,43.35
2002,87,t2,droite,100.0
2002,88,t1,centre,8.45
2002,88,t1,droite,59.45
2002,88,t1,gauche,32.1
2002,88,t2,droite,100.0
2002,89,t1,centre,8.25
2002,89,t1,droite,64.06
2002,89,t1,gauche,27.7
2002,89,t2,droite,100.0
2002,90,t1,centre,28.79
2002,90,t1,droite,48.96
2002,90,t1,gauche,22.26
2002,90,t2,droite,100.0
2002,91,t1,centre,12.23
2002,91,t1,droite,53.69
2002,91,t1,gauche,34.07
2002,91,t2,droite,100.0
2002,92,t1,centre,11.79
2002,92,t1,droite,59.13
2002,92,t1,gauche,29.08
2002,92,t2,droite,100.0
2002,93,t1,centre,8.68
2002,93,t1,droite,49.38
2002,93,t1,gauche,41.94
2002,93,t2,droite,100.0
2002,94,t1,centre,10.77
2002,94,t1,droite,50.8
2002,94,t1,gauche,38.43
2002,94,t2,droite,100.0
2002,95,t1,centre,11.09
2002,95,t1,droite,52.84
2002,95,t1,gauche,36.07
2002,95,t2,droite,100.0
2002,971,t1,centre,1.15
2002,971,t1,droite,37.55
2002,971,t1,gauche,61.3
2002,971,t2,droite,100.0
2002,972,t1,centre,2.8
2002,972,t1,droite,39.34
2002,972,t1,gauche,57.86
2002,972,t2,droite,100.0
2002,973,t1,centre,3.5
2002,973,t1,droite,24.13
2002,973,t1,gauche,72.37
2002,973,t2,droite,100.0
2002,974,t1,centre,3.35
2002,974,t1,droite,46.51
2002,974,t1,gauche,50.14
2002,974,t2,droite,100.0
2007,01,t1,centre,19.01
2007,01,t1,droite,55.04
2007,01,t1,gauche,25.96
2007,01,t2,droite,64.02
2007,01,t2,gauche,35.98
2007,02,t1,centre,11.48
2007,02,t1,droite,53.62
2007,02,t1,gauche,34.9
2007,02,t2,droite,51.53
2007,02,t2,gauche,48.47
2007,03,t1,centre,18.54
2007,03,t1,droite,44.26
2007,03,t1,gauche,37.21
2007,03,t2,droite,47.19
2007,03,t2,gauche,52.81
2007,04,t1,centre,17.43
2007,04,t1,droite,47.73
2007,04,t1,gauche,34.84
2007,04,t2,droite,53.53
2007,04,t2,gauche,46.47
2007,05,t1,centre,21.1
2007,05,t1,droite,44.88
2007,05,t1,gauche,34.02
2007,05,t2,droite,54.73
2007,05,t2,gauche,45.27
2007,06,t1,centre,10.51
2007,06,t1,droite,72.17
2007,06,t1,gauche,17.32
2007,06,t2,droite,74.07
2007,06,t2,gauche,25.93
2007,07,t1,centre,18.86
2007,07,t1,droite,45.29
2007,07,t1,gauche,35.85
2007,07,t2,droite,51.44
2007,07,t2,gauche,48.56
2007,08,t1,centre,12.93
2007,08,t1,droite,49.26
2007,08,t1,gauche,37.8
2007,08,t2,droite,50.13
2007,08,t2,gauche,49.87
2007,09,t1,centre,16.42
2007,09,t1,droite,36.97
2007,09,t1,gauche,46.62
2007,09,t2,droite,39.04
2007,09,t2,gauche,60.96
2007,10,t1,centre,15.97
2007,10,t1,droite,55.27
2007,10,t1,gauche,28.76
2007,10,t2,droite,63.15
2007,10,t2,gauche,36.85
2007,11,t1,centre,12.35
2007,11,t1,droite,47.61
2007,11,t1,gauche,40.04
2007,11,t2,droite,49.97
2007,11,t2,gauche,50.03
2007,12,t1,centre,21.86
